gene,description,apoptosis,cell_cycle,p53_signaling,immune_response,metabolism,DNA_repair,angiogenesis,inflammation,oxidative_stress,transcription_regulation
GENE_0491,Predicted function for GENE_0491 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0492,Predicted function for GENE_0492 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0493,Predicted function for GENE_0493 based on expression profile.,0,1,1,0,0,0,0,0,0,0
GENE_0494,Predicted function for GENE_0494 based on expression profile.,0,0,0,0,1,1,0,0,0,0
GENE_0495,Predicted function for GENE_0495 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0496,Predicted function for GENE_0496 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0497,Predicted function for GENE_0497 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0498,Predicted function for GENE_0498 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0499,Predicted function for GENE_0499 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0500,Predicted function for GENE_0500 based on expression profile.,0,0,0,0,1,0,0,0,0,1
GENE_0501,Predicted function for GENE_0501 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0502,Predicted function for GENE_0502 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0503,Predicted function for GENE_0503 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0504,Predicted function for GENE_0504 based on expression profile.,0,0,0,0,1,0,1,0,0,0
GENE_0505,Predicted function for GENE_0505 based on expression profile.,0,0,0,1,0,1,0,0,0,0
GENE_0506,Predicted function for GENE_0506 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0507,Predicted function for GENE_0507 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0508,Predicted function for GENE_0508 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0509,Predicted function for GENE_0509 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0510,Predicted function for GENE_0510 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0511,Predicted function for GENE_0511 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0512,Predicted function for GENE_0512 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0513,Predicted function for GENE_0513 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0514,Predicted function for GENE_0514 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0515,Predicted function for GENE_0515 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0516,Predicted function for GENE_0516 based on expression profile.,0,0,1,0,0,0,0,1,0,0
GENE_0517,Predicted function for GENE_0517 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0518,Predicted function for GENE_0518 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0519,Predicted function for GENE_0519 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0520,Predicted function for GENE_0520 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0521,Predicted function for GENE_0521 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0522,Predicted function for GENE_0522 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0523,Predicted function for GENE_0523 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0524,Predicted function for GENE_0524 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0525,Predicted function for GENE_0525 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0526,Predicted function for GENE_0526 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0527,Predicted function for GENE_0527 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0528,Predicted function for GENE_0528 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0529,Predicted function for GENE_0529 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0530,Predicted function for GENE_0530 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0531,Predicted function for GENE_0531 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0532,Predicted function for GENE_0532 based on expression profile.,0,0,0,0,1,0,1,0,0,0
GENE_0533,Predicted function for GENE_0533 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0534,Predicted function for GENE_0534 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0535,Predicted function for GENE_0535 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0536,Predicted function for GENE_0536 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0537,Predicted function for GENE_0537 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0538,Predicted function for GENE_0538 based on expression profile.,0,0,0,0,0,0,1,1,0,0
GENE_0539,Predicted function for GENE_0539 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0540,Predicted function for GENE_0540 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0541,Predicted function for GENE_0541 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0542,Predicted function for GENE_0542 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0543,Predicted function for GENE_0543 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0544,Predicted function for GENE_0544 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0545,Predicted function for GENE_0545 based on expression profile.,0,0,0,0,0,0,0,1,0,1
GENE_0546,Predicted function for GENE_0546 based on expression profile.,0,1,0,1,0,0,0,0,0,0
GENE_0547,Predicted function for GENE_0547 based on expression profile.,0,0,0,1,0,1,0,0,0,0
GENE_0548,Predicted function for GENE_0548 based on expression profile.,0,0,0,0,0,1,0,0,1,0
GENE_0549,Predicted function for GENE_0549 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0550,Predicted function for GENE_0550 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0551,Predicted function for GENE_0551 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0552,Predicted function for GENE_0552 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0553,Predicted function for GENE_0553 based on expression profile.,0,0,0,1,1,0,0,0,0,0
GENE_0554,Predicted function for GENE_0554 based on expression profile.,1,0,0,0,1,0,0,0,0,0
GENE_0555,Predicted function for GENE_0555 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0556,Predicted function for GENE_0556 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0557,Predicted function for GENE_0557 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0558,Predicted function for GENE_0558 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0559,Predicted function for GENE_0559 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0560,Predicted function for GENE_0560 based on expression profile.,0,0,0,0,0,1,0,0,0,1
GENE_0561,Predicted function for GENE_0561 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0562,Predicted function for GENE_0562 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0563,Predicted function for GENE_0563 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0564,Predicted function for GENE_0564 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0565,Predicted function for GENE_0565 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0566,Predicted function for GENE_0566 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0567,Predicted function for GENE_0567 based on expression profile.,0,1,1,0,0,0,0,0,0,0
GENE_0568,Predicted function for GENE_0568 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0569,Predicted function for GENE_0569 based on expression profile.,1,0,0,1,0,0,0,0,0,0
GENE_0570,Predicted function for GENE_0570 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0571,Predicted function for GENE_0571 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0572,Predicted function for GENE_0572 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0573,Predicted function for GENE_0573 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0574,Predicted function for GENE_0574 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0575,Predicted function for GENE_0575 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0576,Predicted function for GENE_0576 based on expression profile.,0,0,1,0,0,0,1,0,0,0
GENE_0577,Predicted function for GENE_0577 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0578,Predicted function for GENE_0578 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0579,Predicted function for GENE_0579 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0580,Predicted function for GENE_0580 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0581,Predicted function for GENE_0581 based on expression profile.,0,1,0,0,0,0,1,0,0,0
GENE_0582,Predicted function for GENE_0582 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0583,Predicted function for GENE_0583 based on expression profile.,0,0,0,0,0,0,1,0,1,0
GENE_0584,Predicted function for GENE_0584 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0585,Predicted function for GENE_0585 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0586,Predicted function for GENE_0586 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0587,Predicted function for GENE_0587 based on expression profile.,1,0,0,0,0,0,1,0,0,0
GENE_0588,Predicted function for GENE_0588 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0589,Predicted function for GENE_0589 based on expression profile.,0,0,0,0,1,0,0,1,0,0
GENE_0590,Predicted function for GENE_0590 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0591,Predicted function for GENE_0591 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0592,Predicted function for GENE_0592 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0593,Predicted function for GENE_0593 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0594,Predicted function for GENE_0594 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0595,Predicted function for GENE_0595 based on expression profile.,0,1,1,0,0,0,0,0,0,0
GENE_0596,Predicted function for GENE_0596 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0597,Predicted function for GENE_0597 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0598,Predicted function for GENE_0598 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0599,Predicted function for GENE_0599 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0600,Predicted function for GENE_0600 based on expression profile.,0,0,0,0,1,0,1,0,0,0
GENE_0601,Predicted function for GENE_0601 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0602,Predicted function for GENE_0602 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0603,Predicted function for GENE_0603 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0604,Predicted function for GENE_0604 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0605,Predicted function for GENE_0605 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0606,Predicted function for GENE_0606 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0607,Predicted function for GENE_0607 based on expression profile.,0,0,0,1,0,0,0,0,1,0
GENE_0608,Predicted function for GENE_0608 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0609,Predicted function for GENE_0609 based on expression profile.,1,0,1,0,0,0,0,0,0,0
GENE_0610,Predicted function for GENE_0610 based on expression profile.,1,0,0,1,0,0,0,0,0,0
GENE_0611,Predicted function for GENE_0611 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0612,Predicted function for GENE_0612 based on expression profile.,0,1,0,0,0,0,1,0,0,0
GENE_0613,Predicted function for GENE_0613 based on expression profile.,0,0,0,1,0,0,1,0,0,0
GENE_0614,Predicted function for GENE_0614 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0615,Predicted function for GENE_0615 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0616,Predicted function for GENE_0616 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0617,Predicted function for GENE_0617 based on expression profile.,0,0,1,1,0,0,0,0,0,0
GENE_0618,Predicted function for GENE_0618 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0619,Predicted function for GENE_0619 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0620,Predicted function for GENE_0620 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0621,Predicted function for GENE_0621 based on expression profile.,0,0,0,0,1,1,0,0,0,0
GENE_0622,Predicted function for GENE_0622 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0623,Predicted function for GENE_0623 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0624,Predicted function for GENE_0624 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0625,Predicted function for GENE_0625 based on expression profile.,0,0,0,0,1,0,1,0,0,0
GENE_0626,Predicted function for GENE_0626 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0627,Predicted function for GENE_0627 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0628,Predicted function for GENE_0628 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0629,Predicted function for GENE_0629 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0630,Predicted function for GENE_0630 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0631,Predicted function for GENE_0631 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0632,Predicted function for GENE_0632 based on expression profile.,0,0,0,0,1,0,0,1,0,0
GENE_0633,Predicted function for GENE_0633 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0634,Predicted function for GENE_0634 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0635,Predicted function for GENE_0635 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0636,Predicted function for GENE_0636 based on expression profile.,0,0,0,0,1,0,1,0,0,0
GENE_0637,Predicted function for GENE_0637 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0638,Predicted function for GENE_0638 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0639,Predicted function for GENE_0639 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0640,Predicted function for GENE_0640 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0641,Predicted function for GENE_0641 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0642,Predicted function for GENE_0642 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0643,Predicted function for GENE_0643 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0644,Predicted function for GENE_0644 based on expression profile.,0,0,0,1,0,0,0,1,0,0
GENE_0645,Predicted function for GENE_0645 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0646,Predicted function for GENE_0646 based on expression profile.,0,0,0,0,1,0,0,1,0,0
GENE_0647,Predicted function for GENE_0647 based on expression profile.,1,0,0,0,1,0,0,0,0,0
GENE_0648,Predicted function for GENE_0648 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0649,Predicted function for GENE_0649 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0650,Predicted function for GENE_0650 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0651,Predicted function for GENE_0651 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0652,Predicted function for GENE_0652 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0653,Predicted function for GENE_0653 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0654,Predicted function for GENE_0654 based on expression profile.,0,0,1,0,0,1,0,0,0,0
GENE_0655,Predicted function for GENE_0655 based on expression profile.,0,1,0,0,0,1,0,0,0,0
GENE_0656,Predicted function for GENE_0656 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0657,Predicted function for GENE_0657 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0658,Predicted function for GENE_0658 based on expression profile.,0,0,0,1,0,0,0,1,0,0
GENE_0659,Predicted function for GENE_0659 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0660,Predicted function for GENE_0660 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0661,Predicted function for GENE_0661 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0662,Predicted function for GENE_0662 based on expression profile.,0,0,0,0,0,1,0,0,1,0
GENE_0663,Predicted function for GENE_0663 based on expression profile.,0,1,0,0,0,0,0,0,1,0
GENE_0664,Predicted function for GENE_0664 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0665,Predicted function for GENE_0665 based on expression profile.,0,0,0,0,1,0,1,0,0,0
GENE_0666,Predicted function for GENE_0666 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0667,Predicted function for GENE_0667 based on expression profile.,0,1,0,0,0,0,0,0,1,0
GENE_0668,Predicted function for GENE_0668 based on expression profile.,0,0,0,0,0,0,1,0,1,0
GENE_0669,Predicted function for GENE_0669 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0670,Predicted function for GENE_0670 based on expression profile.,1,0,0,0,1,0,0,0,0,0
GENE_0671,Predicted function for GENE_0671 based on expression profile.,1,1,0,0,0,0,0,0,0,0
GENE_0672,Predicted function for GENE_0672 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0673,Predicted function for GENE_0673 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0674,Predicted function for GENE_0674 based on expression profile.,0,1,1,0,0,0,0,0,0,0
GENE_0675,Predicted function for GENE_0675 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0676,Predicted function for GENE_0676 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0677,Predicted function for GENE_0677 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0678,Predicted function for GENE_0678 based on expression profile.,1,0,0,0,0,0,1,0,0,0
GENE_0679,Predicted function for GENE_0679 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0680,Predicted function for GENE_0680 based on expression profile.,0,0,1,1,0,0,0,0,0,0
GENE_0681,Predicted function for GENE_0681 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0682,Predicted function for GENE_0682 based on expression profile.,0,0,0,0,1,0,1,0,0,0
GENE_0683,Predicted function for GENE_0683 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0684,Predicted function for GENE_0684 based on expression profile.,0,1,0,1,0,0,0,0,0,0
GENE_0685,Predicted function for GENE_0685 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0686,Predicted function for GENE_0686 based on expression profile.,0,0,0,1,0,0,0,1,0,0
GENE_0687,Predicted function for GENE_0687 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0688,Predicted function for GENE_0688 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0689,Predicted function for GENE_0689 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0690,Predicted function for GENE_0690 based on expression profile.,0,0,0,0,0,0,0,0,1,1
GENE_0691,Predicted function for GENE_0691 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0692,Predicted function for GENE_0692 based on expression profile.,0,0,0,0,0,1,0,1,0,0
GENE_0693,Predicted function for GENE_0693 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0694,Predicted function for GENE_0694 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0695,Predicted function for GENE_0695 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0696,Predicted function for GENE_0696 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0697,Predicted function for GENE_0697 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0698,Predicted function for GENE_0698 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0699,Predicted function for GENE_0699 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0700,Predicted function for GENE_0700 based on expression profile.,0,1,0,0,0,0,0,0,0,1
GENE_0701,Predicted function for GENE_0701 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0702,Predicted function for GENE_0702 based on expression profile.,0,0,0,0,0,0,0,0,1,1
GENE_0703,Predicted function for GENE_0703 based on expression profile.,0,0,0,0,0,0,1,0,1,0
GENE_0704,Predicted function for GENE_0704 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0705,Predicted function for GENE_0705 based on expression profile.,0,0,0,1,0,0,0,0,1,0
GENE_0706,Predicted function for GENE_0706 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0707,Predicted function for GENE_0707 based on expression profile.,0,0,0,1,0,0,0,0,1,0
GENE_0708,Predicted function for GENE_0708 based on expression profile.,1,0,0,0,0,1,0,0,0,0
GENE_0709,Predicted function for GENE_0709 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0710,Predicted function for GENE_0710 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0711,Predicted function for GENE_0711 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0712,Predicted function for GENE_0712 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0713,Predicted function for GENE_0713 based on expression profile.,0,0,1,1,0,0,0,0,0,0
GENE_0714,Predicted function for GENE_0714 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0715,Predicted function for GENE_0715 based on expression profile.,0,0,1,0,0,0,0,1,0,0
GENE_0716,Predicted function for GENE_0716 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0717,Predicted function for GENE_0717 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0718,Predicted function for GENE_0718 based on expression profile.,0,1,1,0,0,0,0,0,0,0
GENE_0719,Predicted function for GENE_0719 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0720,Predicted function for GENE_0720 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0721,Predicted function for GENE_0721 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0722,Predicted function for GENE_0722 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0723,Predicted function for GENE_0723 based on expression profile.,1,0,1,0,0,0,0,0,0,0
GENE_0724,Predicted function for GENE_0724 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0725,Predicted function for GENE_0725 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0726,Predicted function for GENE_0726 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0727,Predicted function for GENE_0727 based on expression profile.,1,0,0,1,0,0,0,0,0,0
GENE_0728,Predicted function for GENE_0728 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0729,Predicted function for GENE_0729 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0730,Predicted function for GENE_0730 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0731,Predicted function for GENE_0731 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0732,Predicted function for GENE_0732 based on expression profile.,1,0,0,0,0,0,0,0,1,0
GENE_0733,Predicted function for GENE_0733 based on expression profile.,0,0,1,0,1,0,0,0,0,0
GENE_0734,Predicted function for GENE_0734 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0735,Predicted function for GENE_0735 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0736,Predicted function for GENE_0736 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0737,Predicted function for GENE_0737 based on expression profile.,0,0,0,0,0,0,1,1,0,0
GENE_0738,Predicted function for GENE_0738 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0739,Predicted function for GENE_0739 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0740,Predicted function for GENE_0740 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0741,Predicted function for GENE_0741 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0742,Predicted function for GENE_0742 based on expression profile.,0,1,0,0,0,0,1,0,0,0
GENE_0743,Predicted function for GENE_0743 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0744,Predicted function for GENE_0744 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0745,Predicted function for GENE_0745 based on expression profile.,0,0,0,0,0,0,0,1,1,0
GENE_0746,Predicted function for GENE_0746 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0747,Predicted function for GENE_0747 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0748,Predicted function for GENE_0748 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0749,Predicted function for GENE_0749 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0750,Predicted function for GENE_0750 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0751,Predicted function for GENE_0751 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0752,Predicted function for GENE_0752 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0753,Predicted function for GENE_0753 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0754,Predicted function for GENE_0754 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0755,Predicted function for GENE_0755 based on expression profile.,1,0,1,0,0,0,0,0,0,0
GENE_0756,Predicted function for GENE_0756 based on expression profile.,0,0,0,0,0,0,0,0,1,1
GENE_0757,Predicted function for GENE_0757 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0758,Predicted function for GENE_0758 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0759,Predicted function for GENE_0759 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0760,Predicted function for GENE_0760 based on expression profile.,0,1,0,1,0,0,0,0,0,0
GENE_0761,Predicted function for GENE_0761 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0762,Predicted function for GENE_0762 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0763,Predicted function for GENE_0763 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0764,Predicted function for GENE_0764 based on expression profile.,0,1,0,0,0,0,0,0,1,0
GENE_0765,Predicted function for GENE_0765 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0766,Predicted function for GENE_0766 based on expression profile.,0,0,0,0,1,1,0,0,0,0
GENE_0767,Predicted function for GENE_0767 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0768,Predicted function for GENE_0768 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0769,Predicted function for GENE_0769 based on expression profile.,1,0,1,0,0,0,0,0,0,0
GENE_0770,Predicted function for GENE_0770 based on expression profile.,1,0,0,0,1,0,0,0,0,0
GENE_0771,Predicted function for GENE_0771 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0772,Predicted function for GENE_0772 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0773,Predicted function for GENE_0773 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0774,Predicted function for GENE_0774 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0775,Predicted function for GENE_0775 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0776,Predicted function for GENE_0776 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0777,Predicted function for GENE_0777 based on expression profile.,1,0,0,0,0,1,0,0,0,0
GENE_0778,Predicted function for GENE_0778 based on expression profile.,0,0,1,0,1,0,0,0,0,0
GENE_0779,Predicted function for GENE_0779 based on expression profile.,1,0,0,0,0,0,1,0,0,0
GENE_0780,Predicted function for GENE_0780 based on expression profile.,0,0,0,0,0,1,0,0,0,0
